#,Hall.,H. Type,Unnamed: 3,L0,L0_ii,L0_iii,L0_iv,L1,L2,Q0,Q0_ii,Q0_iii,Q0_iv,Q1,Q2,M0,M0_ii,M0_iii,M0_iv,M1,M2,G0,G0_ii,G0_iii,G0_iv,G1,G2,Unnamed: 28,L0.1,L0_ii.1,L0_iii.1,L0_iv.1,L1.1,L2.1,Q0.1,Q0_ii.1,Q0_iii.1,Q0_iv.1,Q1.1,Q2.1,M0.1,M0_ii.1,M0_iii.1,M0_iv.1,M1.1,M2.1,G0.1,G0_ii.1,G0_iii.1,G0_iv.1,G1.1,G2.1,Unnamed: 53,L0.2,L0_ii.2,L0_iii.2,L0_iv.2,L1.2,L2.2,Q0.2,Q0_ii.2,Q0_iii.2,Q0_iv.2,Q1.2,Q2.2,M0.2,M0_ii.2,M0_iii.2,M0_iv.2,M1.2,M2.2,G0.2,G0_ii.2,G0_iii.2,G0_iv.2,G1.2,G2.2,Unnamed: 78,L0.3,L0_ii.3,L0_iii.3,L0_iv.3,L1.3,L2.3,Q0.3,Q0_ii.3,Q0_iii.3,Q0_iv.3,Q1.3,Q2.3,M0.3,M0_ii.3,M0_iii.3,M0_iv.3,M1.3,M2.3,G0.3,G0_ii.3,G0_iii.3,G0_iv.3,G1.3,G2.3,Unnamed: 103,Support,Prec. Macro,Prec. Macro Balanced,Prec. Micro A,Prec. Micro B,E1_score,E2_score,E3_score,E4_score,E5_score,Rank,is_hall,is_real,k,cum_covered,cum_hall
GS.7.2,No,,H.7.2,,X,X,X,X,X,,,,,,X,P,,,P,P,P,X,X,X,X,,,,,"0,89","0,89","0,89","0,80","0,89",,,,,,"0,72","0,66",,,"0,66","0,75","0,61","0,85","0,85","0,85","0,85",,,,,"0,89","0,89","0,89","0,80","0,89",,,,,,"0,72","0,65",,,"0,65","0,75","0,61","0,84","0,84","0,84","0,84",,,,,"0,78","0,78","0,78","0,80","0,89",,,,,,"0,72","0,49",,,"0,49","0,75","0,61","0,68","0,68","0,68","0,68",,,,14.0,"11,17","8,186","11,11","9,78",11.17,14.0,8.186,11.11,9.78,4,False,True,11,11,0
GS.5.2,No,,H.5.2,P,P,P,P,,,X,X,X,X,X,,,,,,,,X,X,X,X,,X,,"0,89","0,89","0,89","0,89",,,"0,76","0,76","0,76","0,76","0,75",,,,,,,,"0,85","0,85","0,85","0,85",,"0,74",,"0,89","0,89","0,89","0,89",,,"0,74","0,74","0,74","0,74","0,75",,,,,,,,"0,84","0,84","0,84","0,84",,"0,74",,"0,78","0,78","0,78","0,78",,,"0,49","0,49","0,49","0,49","0,75",,,,,,,,"0,68","0,68","0,68","0,68",,"0,74",,14.0,"11,49","6,551","11,37","9,26",11.49,14.0,6.551,11.37,9.26,4,False,True,12,12,0
GS.10.2,No,,H.10.2,X,P,X,X,X,,,,,,,X,X,X,X,,,X,P,P,P,P,,,,"0,89","0,89","0,89","0,89","0,80",,,,,,,"0,72","0,66","0,66","0,66",,,"0,61","0,85","0,85","0,85","0,85",,,,"0,89","0,89","0,89","0,89","0,80",,,,,,,"0,72","0,65","0,65","0,65",,,"0,61","0,84","0,84","0,84","0,84",,,,"0,78","0,78","0,78","0,78","0,80",,,,,,,"0,72","0,49","0,49","0,49",,,"0,61","0,68","0,68","0,68","0,68",,,,14.0,"11,07","6,929","11,01","9,41",11.07,14.0,6.929,11.01,9.41,4,False,True,13,13,0
GS.10.1,No,,H.10.1,,,,,X,P,,X,X,X,,,X,X,X,X,X,X,,X,,X,,X,,,,,,"0,80","0,89",,"0,76","0,76","0,76",,,"0,66","0,66","0,66","0,66","0,75","0,61",,"0,85",,"0,85",,"0,74",,,,,,"0,80","0,89",,"0,74","0,74","0,74",,,"0,65","0,65","0,65","0,65","0,75","0,61",,"0,84",,"0,84",,"0,74",,,,,,"0,80","0,89",,"0,49","0,49","0,49",,,"0,49","0,49","0,49","0,49","0,75","0,61",,"0,68",,"0,68",,"0,74",,14.0,"10,40","6,722","10,31","8,57",10.4,14.0,6.722,10.31,8.57,4,False,True,14,14,0
GS.4.1,No,,H.4.1,X,X,X,P,X,X,X,P,P,P,,P,,,,,P,P,,,,,,,,"0,89","0,89","0,89","0,89","0,80","0,89","0,76","0,76","0,76","0,76",,"0,72",,,,,"0,75","0,61",,,,,,,,"0,89","0,89","0,89","0,89","0,80","0,89","0,74","0,74","0,74","0,74",,"0,72",,,,,"0,75","0,61",,,,,,,,"0,78","0,78","0,78","0,78","0,80","0,89","0,49","0,49","0,49","0,49",,"0,72",,,,,"0,75","0,61",,,,,,,,13.0,"10,36","5,419","10,28","8,84",10.36,13.0,5.419,10.28,8.84,5,False,True,15,15,0
GS.4.5,No,,H.4.5,X,X,X,P,X,X,X,,P,P,,P,,,,,P,P,,,,,X,,,"0,89","0,89","0,89","0,89","0,80","0,89","0,76",,"0,76","0,76",,"0,72",,,,,"0,75","0,61",,,,,"0,60",,,"0,89","0,89","0,89","0,89","0,80","0,89","0,74",,"0,74","0,74",,"0,72",,,,,"0,75","0,61",,,,,"0,60",,,"0,78","0,78","0,78","0,78","0,80","0,89","0,49",,"0,49","0,49",,"0,72",,,,,"0,75","0,61",,,,,"0,60",,,13.0,"10,20","5,829","10,14","8,95",10.2,13.0,5.829,10.14,8.95,5,False,True,16,16,0
GS.10.3,No,,H.10.3,X,,,X,,X,X,,,,X,X,P,P,,,,,X,,,X,X,X,,"0,89",,,"0,89",,"0,89","0,76",,,,"0,75","0,72","0,66","0,66",,,,,"0,85",,,"0,85","0,60","0,74",,"0,89",,,"0,89",,"0,89","0,74",,,,"0,75","0,72","0,65","0,65",,,,,"0,84",,,"0,84","0,60","0,74",,"0,78",,,"0,78",,"0,89","0,49",,,,"0,75","0,72","0,49","0,49",,,,,"0,68",,,"0,68","0,60","0,74",,12.0,"9,26","6,375","9,21","8,08",9.26,12.0,6.375,9.21,8.08,6,False,True,17,17,0
GS.4.3,No,,H.4.3,X,X,X,P,,X,P,P,P,P,,P,,,,,P,P,,,,,,,,"0,89","0,89","0,89","0,89",,"0,89","0,76","0,76","0,76","0,76",,"0,72",,,,,"0,75","0,61",,,,,,,,"0,89","0,89","0,89","0,89",,"0,89","0,74","0,74","0,74","0,74",,"0,72",,,,,"0,75","0,61",,,,,,,,"0,78","0,78","0,78","0,78",,"0,89","0,49","0,49","0,49","0,49",,"0,72",,,,,"0,75","0,61",,,,,,,,12.0,"9,56","4,619","9,48","8,04",9.56,12.0,4.619,9.48,8.04,6,False,True,18,18,0
GS.7.3,No,,H.7.3,,,X,X,,X,X,X,X,X,,,,,,,X,,X,,X,X,,,,,,"0,89","0,89",,"0,89","0,76","0,76","0,76","0,76",,,,,,,"0,75",,"0,85",,"0,85","0,85",,,,,,"0,89","0,89",,"0,89","0,74","0,74","0,74","0,74",,,,,,,"0,75",,"0,84",,"0,84","0,84",,,,,,"0,78","0,78",,"0,89","0,49","0,49","0,49","0,49",,,,,,,"0,75",,"0,68",,"0,68","0,68",,,,11.0,"9,02","5,409","8,91","7,19",9.02,11.0,5.409,8.91,7.19,7,False,True,19,19,0
GS.4.2,No,,H.4.2,X,X,X,P,X,X,,P,P,P,,,,,,,P,P,,,,,,,,"0,89","0,89","0,89","0,89","0,80","0,89",,"0,76","0,76","0,76",,,,,,,"0,75","0,61",,,,,,,,"0,89","0,89","0,89","0,89","0,80","0,89",,"0,74","0,74","0,74",,,,,,,"0,75","0,61",,,,,,,,"0,78","0,78","0,78","0,78","0,80","0,89",,"0,49","0,49","0,49",,,,,,,"0,75","0,61",,,,,,,,11.0,"8,87","4,505","8,82","7,63",8.87,11.0,4.505,8.82,7.63,7,False,True,20,20,0
L0.3.3; L0_ii.3.2; L1.3.2; Q0_ii.3.2; Q0_iii.3.3; Q0_iv.3.1; Q1.3.7; Q2.3.1; M0_ii.3.1; M0_iii.3.1,Yes,Scope misalignment,,X,X,,,X,,,X,X,X,X,X,,X,X,,,,,,,,,,,"0,89","0,89",,,"0,80",,,"0,76","0,76","0,76","0,75","0,72",,"0,66","0,66",,,,,,,,,,,"0,89","0,89",,,"0,80",,,"0,74","0,74","0,74","0,75","0,72",,"0,65","0,65",,,,,,,,,,,"0,78","0,78",,,"0,80",,,"0,49","0,49","0,49","0,75","0,72",,"0,49","0,49",,,,,,,,,,,10.0,"7,64","3,616","7,58","6,28",7.64,10.0,3.616,7.58,6.28,8,True,False,21,20,1
GS.3.2,No,,H.3.2,X,X,P,P,P,,,,,,X,X,,,,,,,,,,X,P,,,"0,89","0,89","0,89","0,89","0,80",,,,,,"0,75","0,72",,,,,,,,,,"0,85","0,60",,,"0,89","0,89","0,89","0,89","0,80",,,,,,"0,75","0,72",,,,,,,,,,"0,84","0,60",,,"0,78","0,78","0,78","0,78","0,80",,,,,,"0,75","0,72",,,,,,,,,,"0,68","0,60",,,9.0,"7,28","4,616","7,27","6,65",7.28,9.0,4.616,7.27,6.65,9,False,True,22,21,1
GS.10.5,No,,,,X,X,X,,X,,,,,X,,,,,,,,X,X,X,X,,,,,"0,89","0,89","0,89",,"0,89",,,,,"0,75",,,,,,,,"0,85","0,85","0,85","0,85",,,,,"0,89","0,89","0,89",,"0,89",,,,,"0,75",,,,,,,,"0,84","0,84","0,84","0,84",,,,,"0,78","0,78","0,78",,"0,89",,,,,"0,75",,,,,,,,"0,68","0,68","0,68","0,68",,,,9.0,"7,72","5,727","7,67","6,67",7.72,9.0,5.727,7.67,6.67,9,False,True,23,22,1
GS.3.4,No,,H.3.4,,X,,,,,X,X,X,P,,,,,,,,,X,X,,P,,,,,"0,89",,,,,"0,76","0,76","0,76","0,76",,,,,,,,,"0,85","0,85",,"0,85",,,,,"0,89",,,,,"0,74","0,74","0,74","0,74",,,,,,,,,"0,84","0,84",,"0,84",,,,,"0,78",,,,,"0,49","0,49","0,49","0,49",,,,,,,,,"0,68","0,68",,"0,68",,,,8.0,"6,49","3,545","6,38","4,77",6.49,8.0,3.545,6.38,4.77,10,False,True,24,23,1
GS.4.8,No,,H.4.8,P,,,,,,P,P,P,P,,,,,,,,X,P,P,,,,,,"0,89",,,,,,"0,76","0,76","0,76","0,76",,,,,,,,"0,61","0,85","0,85",,,,,,"0,89",,,,,,"0,74","0,74","0,74","0,74",,,,,,,,"0,61","0,84","0,84",,,,,,"0,78",,,,,,"0,49","0,49","0,49","0,49",,,,,,,,"0,61","0,68","0,68",,,,,,8.0,"6,24","3,296","6,14","4,70",6.24,8.0,3.296,6.14,4.7,10,False,True,25,24,1
GS.3.6,No,,,,,,,X,,X,,,,X,X,,,,,X,,,,X,,X,X,,,,,,"0,80",,"0,76",,,,"0,75","0,72",,,,,"0,75",,,,"0,85",,"0,60","0,74",,,,,,"0,80",,"0,74",,,,"0,75","0,72",,,,,"0,75",,,,"0,84",,"0,60","0,74",,,,,,"0,80",,"0,49",,,,"0,75","0,72",,,,,"0,75",,,,"0,68",,"0,60","0,74",,8.0,"5,97","5,405","5,94","5,53",5.97,8.0,5.405,5.94,5.53,10,False,True,26,25,1
GS.4.4,No,,H.4.4,X,,,,,,X,,P,P,,,,,,,P,P,,,,,,,,"0,89",,,,,,"0,76",,"0,76","0,76",,,,,,,"0,75","0,61",,,,,,,,"0,89",,,,,,"0,74",,"0,74","0,74",,,,,,,"0,75","0,61",,,,,,,,"0,78",,,,,,"0,49",,"0,49","0,49",,,,,,,"0,75","0,61",,,,,,,,6.0,"4,52","2,147","4,46","3,61",4.52,6.0,2.147,4.46,3.61,11,False,True,27,26,1
GS.4.12,No,,,X,,,,X,,,,,,,,X,X,X,X,,,,,,,,,,"0,89",,,,"0,80",,,,,,,,"0,66","0,66","0,66","0,66",,,,,,,,,,"0,89",,,,"0,80",,,,,,,,"0,65","0,65","0,65","0,65",,,,,,,,,,"0,78",,,,"0,80",,,,,,,,"0,49","0,49","0,49","0,49",,,,,,,,,,6.0,"4,32","1,680","4,30","3,54",4.32,6.0,1.68,4.3,3.54,11,False,True,28,27,1
GS.4.10,No,,,X,,,,X,,,,,,,,X,X,X,X,,,,,,,,,,"0,89",,,,"0,80",,,,,,,,"0,66","0,66","0,66","0,66",,,,,,,,,,"0,89",,,,"0,80",,,,,,,,"0,65","0,65","0,65","0,65",,,,,,,,,,"0,78",,,,"0,80",,,,,,,,"0,49","0,49","0,49","0,49",,,,,,,,,,6.0,"4,32","1,680","4,30","3,54",4.32,6.0,1.68,4.3,3.54,11,False,True,29,28,1
GS.5.3,No,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,"0,89","0,89","0,89","0,89","0,80","0,89",,,,,,,,,,,,,,,,,,,,"0,89","0,89","0,89","0,89","0,80","0,89",,,,,,,,,,,,,,,,,,,,"0,78","0,78","0,78","0,78","0,80","0,89",,,,,,,,,,,,,,,,,,,,6.0,"5,24","2,580","5,24","4,80",5.24,6.0,2.58,5.24,4.8,11,False,True,30,29,1
GS.9.2,No,,H.9.2,X,X,X,X,,,X,,,,,,P,,,,,,,,,,,,,"0,89","0,89","0,89","0,89",,,"0,76",,,,,,"0,66",,,,,,,,,,,,,"0,89","0,89","0,89","0,89",,,"0,74",,,,,,"0,65",,,,,,,,,,,,,"0,78","0,78","0,78","0,78",,,"0,49",,,,,,"0,49",,,,,,,,,,,,,6.0,"4,96","1,241","4,94","4,09",4.96,6.0,1.241,4.94,4.09,11,False,True,31,30,1
GS.7.5,No,,,X,,,,,X,,,,,,,X,X,,,X,X,,,,,,,,"0,89",,,,,"0,89",,,,,,,"0,66","0,66",,,"0,75","0,61",,,,,,,,"0,89",,,,,"0,89",,,,,,,"0,65","0,65",,,"0,75","0,61",,,,,,,,"0,78",,,,,"0,89",,,,,,,"0,49","0,49",,,"0,75","0,61",,,,,,,,6.0,"4,45","2,800","4,44","4,01",4.45,6.0,2.8,4.44,4.01,11,False,True,32,31,1
GS.9.6,No,,,,,,,,,,,,,,X,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,"0,72",,,,,,"0,61","0,85","0,85","0,85","0,85",,,,,,,,,,,,,,,"0,72",,,,,,"0,61","0,84","0,84","0,84","0,84",,,,,,,,,,,,,,,"0,72",,,,,,"0,61","0,68","0,68","0,68","0,68",,,,6.0,"4,75","4,749","4,70","4,03",4.75,6.0,4.749,4.7,4.03,11,False,True,33,32,1
GS.4.11,No,,,X,,,,,,,,,,,,X,X,X,X,,,,,,,,,,"0,89",,,,,,,,,,,,"0,66","0,66","0,66","0,66",,,,,,,,,,"0,89",,,,,,,,,,,,"0,65","0,65","0,65","0,65",,,,,,,,,,"0,78",,,,,,,,,,,,"0,49","0,49","0,49","0,49",,,,,,,,,,5.0,"3,52","0,880","3,50","2,74",3.52,5.0,0.88,3.5,2.74,12,False,True,34,33,1
GS.3.5,No,,H.3.5,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,"0,89","0,89","0,89","0,89","0,80",,,,,,,,,,,,,,,,,,,,,"0,89","0,89","0,89","0,89","0,80",,,,,,,,,,,,,,,,,,,,,"0,78","0,78","0,78","0,78","0,80",,,,,,,,,,,,,,,,,,,,,5.0,"4,35","1,687","4,35","3,90",4.35,5.0,1.687,4.35,3.9,12,False,True,35,34,1
L0_iv.10.4; G0.10.1; G0_iii.10.3; G0_iv.10.2; G2.10.1,Yes,Architectural infeasibility,,,,,X,,,,,,,,,,,,,,,X,,X,X,,X,,,,,"0,89",,,,,,,,,,,,,,,"0,85",,"0,85","0,85",,"0,74",,,,,"0,89",,,,,,,,,,,,,,,"0,84",,"0,84","0,84",,"0,74",,,,,"0,78",,,,,,,,,,,,,,,"0,68",,"0,68","0,68",,"0,74",,5.0,"4,19","3,523","4,15","3,54",4.19,5.0,3.523,4.15,3.54,12,True,False,36,34,2
GS.10.11,No,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,"0,89","0,89","0,89","0,89",,,,,,,,,,,,,,,,,,,,,,"0,89","0,89","0,89","0,89",,,,,,,,,,,,,,,,,,,,,,"0,78","0,78","0,78","0,78",,,,,,,,,,,,,,,,,,,,,,4.0,"3,55","0,887","3,55","3,10",3.55,4.0,0.887,3.55,3.1,13,False,True,37,35,2
GS.9.4,No,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,"0,89","0,89","0,89","0,89",,,,,,,,,,,,,,,,,,,,,,"0,89","0,89","0,89","0,89",,,,,,,,,,,,,,,,,,,,,,"0,78","0,78","0,78","0,78",,,,,,,,,,,,,,,,,,,,,,4.0,"3,55","0,887","3,55","3,10",3.55,4.0,0.887,3.55,3.1,13,False,True,38,36,2
GS.8.2,No,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,"0,89","0,89","0,89","0,89",,,,,,,,,,,,,,,,,,,,,,"0,89","0,89","0,89","0,89",,,,,,,,,,,,,,,,,,,,,,"0,78","0,78","0,78","0,78",,,,,,,,,,,,,,,,,,,,,,4.0,"3,55","0,887","3,55","3,10",3.55,4.0,0.887,3.55,3.1,13,False,True,39,37,2
GS.6.2,No,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,"0,89","0,89","0,89","0,89",,,,,,,,,,,,,,,,,,,,,,"0,89","0,89","0,89","0,89",,,,,,,,,,,,,,,,,,,,,,"0,78","0,78","0,78","0,78",,,,,,,,,,,,,,,,,,,,,,4.0,"3,55","0,887","3,55","3,10",3.55,4.0,0.887,3.55,3.1,13,False,True,40,38,2
GS.4.17,No,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,"0,76","0,76","0,76","0,76",,,,,,,,,,,,,,,,,,,,,,"0,74","0,74","0,74","0,74",,,,,,,,,,,,,,,,,,,,,,"0,49","0,49","0,49","0,49",,,,,,,,,,,,,,,,4.0,"3,04","0,759","2,96","1,97",3.04,4.0,0.759,2.96,1.97,13,False,True,41,39,2
GS.5.6,No,,,,,,,,,,X,X,,,,,,,,,,,,X,,X,,,,,,,,,,"0,76","0,76",,,,,,,,,,,,"0,85",,"0,60",,,,,,,,,,"0,74","0,74",,,,,,,,,,,,"0,84",,"0,60",,,,,,,,,,"0,49","0,49",,,,,,,,,,,,"0,68",,"0,60",,,4.0,"2,97","1,834","2,92","2,26",2.97,4.0,1.834,2.92,2.26,13,False,True,42,40,2
