#,Hall.,H. Type,Unnamed: 3,L0,L0_ii,L0_iii,L0_iv,L1,L2,Q0,Q0_ii,Q0_iii,Q0_iv,Q1,Q2,M0,M0_ii,M0_iii,M0_iv,M1,M2,G0,G0_ii,G0_iii,G0_iv,G1,G2,Unnamed: 28,L0.1,L0_ii.1,L0_iii.1,L0_iv.1,L1.1,L2.1,Q0.1,Q0_ii.1,Q0_iii.1,Q0_iv.1,Q1.1,Q2.1,M0.1,M0_ii.1,M0_iii.1,M0_iv.1,M1.1,M2.1,G0.1,G0_ii.1,G0_iii.1,G0_iv.1,G1.1,G2.1,Unnamed: 53,L0.2,L0_ii.2,L0_iii.2,L0_iv.2,L1.2,L2.2,Q0.2,Q0_ii.2,Q0_iii.2,Q0_iv.2,Q1.2,Q2.2,M0.2,M0_ii.2,M0_iii.2,M0_iv.2,M1.2,M2.2,G0.2,G0_ii.2,G0_iii.2,G0_iv.2,G1.2,G2.2,Unnamed: 78,L0.3,L0_ii.3,L0_iii.3,L0_iv.3,L1.3,L2.3,Q0.3,Q0_ii.3,Q0_iii.3,Q0_iv.3,Q1.3,Q2.3,M0.3,M0_ii.3,M0_iii.3,M0_iv.3,M1.3,M2.3,G0.3,G0_ii.3,G0_iii.3,G0_iv.3,G1.3,G2.3,Unnamed: 103,Support,Prec. Macro,Prec. Macro Balanced,Prec. Micro A,Prec. Micro B,Optimal numeric,E1_score,E2_score,E3_score,E4_score,E5_score,E6_score,Rank,is_hall,is_real,k,cum_covered,cum_hall
GS.10.1,No,,H.10.1,,,,,X,P,,X,X,X,,,X,X,X,X,X,X,,X,,X,,X,,,,,,"0,80","0,89",,"0,76","0,76","0,76",,,"0,66","0,66","0,66","0,66","0,75","0,61",,"0,85",,"0,85",,"0,74",,,,,,"0,80","0,89",,"0,74","0,74","0,74",,,"0,65","0,65","0,65","0,65","0,75","0,61",,"0,84",,"0,84",,"0,74",,,,,,"0,80","0,89",,"0,49","0,49","0,49",,,"0,49","0,49","0,49","0,49","0,75","0,61",,"0,68",,"0,68",,"0,74",,14,"10,40","6,722","10,31","8,57","0,526992",10.4,14,6.722,10.31,8.57,0.526992,9,False,True,13,13,0
GS.5.2,No,,H.5.2,P,P,P,P,,,X,X,X,X,X,,,,,,,,X,X,X,X,,X,,"0,89","0,89","0,89","0,89",,,"0,76","0,76","0,76","0,76","0,75",,,,,,,,"0,85","0,85","0,85","0,85",,"0,74",,"0,89","0,89","0,89","0,89",,,"0,74","0,74","0,74","0,74","0,75",,,,,,,,"0,84","0,84","0,84","0,84",,"0,74",,"0,78","0,78","0,78","0,78",,,"0,49","0,49","0,49","0,49","0,75",,,,,,,,"0,68","0,68","0,68","0,68",,"0,74",,14,"11,49","6,551","11,37","9,26","0,668489",11.49,14,6.551,11.37,9.26,0.668489,10,False,True,14,14,0
GS.10.3,No,,H.10.3,X,,,X,,X,X,,,,X,X,P,P,,,,,X,,,X,X,X,,"0,89",,,"0,89",,"0,89","0,76",,,,"0,75","0,72","0,66","0,66",,,,,"0,85",,,"0,85","0,60","0,74",,"0,89",,,"0,89",,"0,89","0,74",,,,"0,75","0,72","0,65","0,65",,,,,"0,84",,,"0,84","0,60","0,74",,"0,78",,,"0,78",,"0,89","0,49",,,,"0,75","0,72","0,49","0,49",,,,,"0,68",,,"0,68","0,60","0,74",,12,"9,26","6,375","9,21","8,08","0,484838",9.26,12,6.375,9.21,8.08,0.484838,11,False,True,15,15,0
GS.4.5,No,,H.4.5,X,X,X,P,X,X,X,,P,P,,P,,,,,P,P,,,,,X,,,"0,89","0,89","0,89","0,89","0,80","0,89","0,76",,"0,76","0,76",,"0,72",,,,,"0,75","0,61",,,,,"0,60",,,"0,89","0,89","0,89","0,89","0,80","0,89","0,74",,"0,74","0,74",,"0,72",,,,,"0,75","0,61",,,,,"0,60",,,"0,78","0,78","0,78","0,78","0,80","0,89","0,49",,"0,49","0,49",,"0,72",,,,,"0,75","0,61",,,,,"0,60",,,13,"10,20","5,829","10,14","8,95","0,628299",10.2,13,5.829,10.14,8.95,0.628299,12,False,True,16,16,0
GS.10.5,No,,,,X,X,X,,X,,,,,X,,,,,,,,X,X,X,X,,,,,"0,89","0,89","0,89",,"0,89",,,,,"0,75",,,,,,,,"0,85","0,85","0,85","0,85",,,,,"0,89","0,89","0,89",,"0,89",,,,,"0,75",,,,,,,,"0,84","0,84","0,84","0,84",,,,,"0,78","0,78","0,78",,"0,89",,,,,"0,75",,,,,,,,"0,68","0,68","0,68","0,68",,,,9,"7,72","5,727","7,67","6,67","0,437730",7.72,9,5.727,7.67,6.67,0.43773,13,False,True,17,17,0
GS.4.1,No,,H.4.1,X,X,X,P,X,X,X,P,P,P,,P,,,,,P,P,,,,,,,,"0,89","0,89","0,89","0,89","0,80","0,89","0,76","0,76","0,76","0,76",,"0,72",,,,,"0,75","0,61",,,,,,,,"0,89","0,89","0,89","0,89","0,80","0,89","0,74","0,74","0,74","0,74",,"0,72",,,,,"0,75","0,61",,,,,,,,"0,78","0,78","0,78","0,78","0,80","0,89","0,49","0,49","0,49","0,49",,"0,72",,,,,"0,75","0,61",,,,,,,,13,"10,36","5,419","10,28","8,84","0,653754",10.36,13,5.419,10.28,8.84,0.653754,14,False,True,18,18,0
GS.7.3,No,,H.7.3,,,X,X,,X,X,X,X,X,,,,,,,X,,X,,X,X,,,,,,"0,89","0,89",,"0,89","0,76","0,76","0,76","0,76",,,,,,,"0,75",,"0,85",,"0,85","0,85",,,,,,"0,89","0,89",,"0,89","0,74","0,74","0,74","0,74",,,,,,,"0,75",,"0,84",,"0,84","0,84",,,,,,"0,78","0,78",,"0,89","0,49","0,49","0,49","0,49",,,,,,,"0,75",,"0,68",,"0,68","0,68",,,,11,"9,02","5,409","8,91","7,19","0,524152",9.02,11,5.409,8.91,7.19,0.524152,15,False,True,19,19,0
GS.3.6,No,,,,,,,X,,X,,,,X,X,,,,,X,,,,X,,X,X,,,,,,"0,80",,"0,76",,,,"0,75","0,72",,,,,"0,75",,,,"0,85",,"0,60","0,74",,,,,,"0,80",,"0,74",,,,"0,75","0,72",,,,,"0,75",,,,"0,84",,"0,60","0,74",,,,,,"0,80",,"0,49",,,,"0,75","0,72",,,,,"0,75",,,,"0,68",,"0,60","0,74",,8,"5,97","5,405","5,94","5,53","0,272529",5.97,8,5.405,5.94,5.53,0.272529,16,False,True,20,20,0
GS.9.6,No,,,,,,,,,,,,,,X,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,"0,72",,,,,,"0,61","0,85","0,85","0,85","0,85",,,,,,,,,,,,,,,"0,72",,,,,,"0,61","0,84","0,84","0,84","0,84",,,,,,,,,,,,,,,"0,72",,,,,,"0,61","0,68","0,68","0,68","0,68",,,,6,"4,75","4,749","4,70","4,03","0,228389",4.75,6,4.749,4.7,4.03,0.228389,17,False,True,21,21,0
GS.4.3,No,,H.4.3,X,X,X,P,,X,P,P,P,P,,P,,,,,P,P,,,,,,,,"0,89","0,89","0,89","0,89",,"0,89","0,76","0,76","0,76","0,76",,"0,72",,,,,"0,75","0,61",,,,,,,,"0,89","0,89","0,89","0,89",,"0,89","0,74","0,74","0,74","0,74",,"0,72",,,,,"0,75","0,61",,,,,,,,"0,78","0,78","0,78","0,78",,"0,89","0,49","0,49","0,49","0,49",,"0,72",,,,,"0,75","0,61",,,,,,,,12,"9,56","4,619","9,48","8,04","0,604980",9.56,12,4.619,9.48,8.04,0.60498,18,False,True,22,22,0
GS.3.2,No,,H.3.2,X,X,P,P,P,,,,,,X,X,,,,,,,,,,X,P,,,"0,89","0,89","0,89","0,89","0,80",,,,,,"0,75","0,72",,,,,,,,,,"0,85","0,60",,,"0,89","0,89","0,89","0,89","0,80",,,,,,"0,75","0,72",,,,,,,,,,"0,84","0,60",,,"0,78","0,78","0,78","0,78","0,80",,,,,,"0,75","0,72",,,,,,,,,,"0,68","0,60",,,9,"7,28","4,616","7,27","6,65","0,446698",7.28,9,4.616,7.27,6.65,0.446698,19,False,True,23,23,0
GS.4.2,No,,H.4.2,X,X,X,P,X,X,,P,P,P,,,,,,,P,P,,,,,,,,"0,89","0,89","0,89","0,89","0,80","0,89",,"0,76","0,76","0,76",,,,,,,"0,75","0,61",,,,,,,,"0,89","0,89","0,89","0,89","0,80","0,89",,"0,74","0,74","0,74",,,,,,,"0,75","0,61",,,,,,,,"0,78","0,78","0,78","0,78","0,80","0,89",,"0,49","0,49","0,49",,,,,,,"0,75","0,61",,,,,,,,11,"8,87","4,505","8,82","7,63","0,584415",8.87,11,4.505,8.82,7.63,0.584415,20,False,True,24,24,0
L0.3.3; L0_ii.3.2; L1.3.2; Q0_ii.3.2; Q0_iii.3.3; Q0_iv.3.1; Q1.3.7; Q2.3.1; M0_ii.3.1; M0_iii.3.1,Yes,Scope misalignment,,X,X,,,X,,,X,X,X,X,X,,X,X,,,,,,,,,,,"0,89","0,89",,,"0,80",,,"0,76","0,76","0,76","0,75","0,72",,"0,66","0,66",,,,,,,,,,,"0,89","0,89",,,"0,80",,,"0,74","0,74","0,74","0,75","0,72",,"0,65","0,65",,,,,,,,,,,"0,78","0,78",,,"0,80",,,"0,49","0,49","0,49","0,75","0,72",,"0,49","0,49",,,,,,,,,,,10,"7,64","3,616","7,58","6,28","0,427714",7.64,10,3.616,7.58,6.28,0.427714,21,True,False,25,24,1
GS.3.4,No,,H.3.4,,X,,,,,X,X,X,P,,,,,,,,,X,X,,P,,,,,"0,89",,,,,"0,76","0,76","0,76","0,76",,,,,,,,,"0,85","0,85",,"0,85",,,,,"0,89",,,,,"0,74","0,74","0,74","0,74",,,,,,,,,"0,84","0,84",,"0,84",,,,,"0,78",,,,,"0,49","0,49","0,49","0,49",,,,,,,,,"0,68","0,68",,"0,68",,,,8,"6,49","3,545","6,38","4,77","0,358995",6.49,8,3.545,6.38,4.77,0.358995,22,False,True,26,25,1
L0_iv.10.4; G0.10.1; G0_iii.10.3; G0_iv.10.2; G2.10.1,Yes,Architectural infeasibility,,,,,X,,,,,,,,,,,,,,,X,,X,X,,X,,,,,"0,89",,,,,,,,,,,,,,,"0,85",,"0,85","0,85",,"0,74",,,,,"0,89",,,,,,,,,,,,,,,"0,84",,"0,84","0,84",,"0,74",,,,,"0,78",,,,,,,,,,,,,,,"0,68",,"0,68","0,68",,"0,74",,5,"4,19","3,523","4,15","3,54","0,215554",4.19,5,3.523,4.15,3.54,0.215554,23,True,False,27,25,2
GS.4.8,No,,H.4.8,P,,,,,,P,P,P,P,,,,,,,,X,P,P,,,,,,"0,89",,,,,,"0,76","0,76","0,76","0,76",,,,,,,,"0,61","0,85","0,85",,,,,,"0,89",,,,,,"0,74","0,74","0,74","0,74",,,,,,,,"0,61","0,84","0,84",,,,,,"0,78",,,,,,"0,49","0,49","0,49","0,49",,,,,,,,"0,61","0,68","0,68",,,,,,8,"6,24","3,296","6,14","4,70","0,369096",6.24,8,3.296,6.14,4.7,0.369096,24,False,True,28,26,2
GS.7.5,No,,,X,,,,,X,,,,,,,X,X,,,X,X,,,,,,,,"0,89",,,,,"0,89",,,,,,,"0,66","0,66",,,"0,75","0,61",,,,,,,,"0,89",,,,,"0,89",,,,,,,"0,65","0,65",,,"0,75","0,61",,,,,,,,"0,78",,,,,"0,89",,,,,,,"0,49","0,49",,,"0,75","0,61",,,,,,,,6,"4,45","2,800","4,44","4,01","0,257197",4.45,6,2.8,4.44,4.01,0.257197,25,False,True,29,27,2
GS.5.3,No,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,"0,89","0,89","0,89","0,89","0,80","0,89",,,,,,,,,,,,,,,,,,,,"0,89","0,89","0,89","0,89","0,80","0,89",,,,,,,,,,,,,,,,,,,,"0,78","0,78","0,78","0,78","0,80","0,89",,,,,,,,,,,,,,,,,,,,6,"5,24","2,580","5,24","4,80","0,375865",5.24,6,2.58,5.24,4.8,0.375865,26,False,True,30,28,2
GS.4.19,No,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,,,,,,"0,85",,"0,85","0,85",,,,,,,,,,,,,,,,,,,,,,"0,84",,"0,84","0,84",,,,,,,,,,,,,,,,,,,,,,"0,68",,"0,68","0,68",,,,3,"2,56","2,564","2,53","2,03","0,122619",2.56,3,2.564,2.53,2.03,0.122619,27,False,True,31,29,2
L1.3.4; Q1.3.9; Q2.3.5,Yes,Template drift,,,,,,X,,,,,,X,X,,,,,,,,,,,,,,,,,,"0,80",,,,,,"0,75","0,72",,,,,,,,,,,,,,,,,,"0,80",,,,,,"0,75","0,72",,,,,,,,,,,,,,,,,,"0,80",,,,,,"0,75","0,72",,,,,,,,,,,,,,3,"2,27","2,274","2,27","2,27","0,113009",2.27,3,2.274,2.27,2.27,0.113009,28,True,False,32,29,3
GS.4.4,No,,H.4.4,X,,,,,,X,,P,P,,,,,,,P,P,,,,,,,,"0,89",,,,,,"0,76",,"0,76","0,76",,,,,,,"0,75","0,61",,,,,,,,"0,89",,,,,,"0,74",,"0,74","0,74",,,,,,,"0,75","0,61",,,,,,,,"0,78",,,,,,"0,49",,"0,49","0,49",,,,,,,"0,75","0,61",,,,,,,,6,"4,52","2,147","4,46","3,61","0,276779",4.52,6,2.147,4.46,3.61,0.276779,29,False,True,33,30,3
GS.5.6,No,,,,,,,,,,X,X,,,,,,,,,,,,X,,X,,,,,,,,,,"0,76","0,76",,,,,,,,,,,,"0,85",,"0,60",,,,,,,,,,"0,74","0,74",,,,,,,,,,,,"0,84",,"0,60",,,,,,,,,,"0,49","0,49",,,,,,,,,,,,"0,68",,"0,60",,,4,"2,97","1,834","2,92","2,26","0,147305",2.97,4,1.834,2.92,2.26,0.147305,30,False,True,34,31,3
GS.6.4,No,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,"0,85",,"0,85",,,,,,,,,,,,,,,,,,,,,,,"0,84",,"0,84",,,,,,,,,,,,,,,,,,,,,,,"0,68",,"0,68",,,,,2,"1,71","1,709","1,68","1,35","0,082579",1.71,2,1.709,1.68,1.35,0.082579,31,False,True,35,32,3
GS.3.5,No,,H.3.5,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,"0,89","0,89","0,89","0,89","0,80",,,,,,,,,,,,,,,,,,,,,"0,89","0,89","0,89","0,89","0,80",,,,,,,,,,,,,,,,,,,,,"0,78","0,78","0,78","0,78","0,80",,,,,,,,,,,,,,,,,,,,,5,"4,35","1,687","4,35","3,90","0,321474",4.35,5,1.687,4.35,3.9,0.321474,32,False,True,36,33,3
GS.4.10,No,,,X,,,,X,,,,,,,,X,X,X,X,,,,,,,,,,"0,89",,,,"0,80",,,,,,,,"0,66","0,66","0,66","0,66",,,,,,,,,,"0,89",,,,"0,80",,,,,,,,"0,65","0,65","0,65","0,65",,,,,,,,,,"0,78",,,,"0,80",,,,,,,,"0,49","0,49","0,49","0,49",,,,,,,,,,6,"4,32","1,680","4,30","3,54","0,236739",4.32,6,1.68,4.3,3.54,0.236739,33,False,True,37,34,3
GS.4.12,No,,,X,,,,X,,,,,,,,X,X,X,X,,,,,,,,,,"0,89",,,,"0,80",,,,,,,,"0,66","0,66","0,66","0,66",,,,,,,,,,"0,89",,,,"0,80",,,,,,,,"0,65","0,65","0,65","0,65",,,,,,,,,,"0,78",,,,"0,80",,,,,,,,"0,49","0,49","0,49","0,49",,,,,,,,,,6,"4,32","1,680","4,30","3,54","0,236739",4.32,6,1.68,4.3,3.54,0.236739,33,False,True,38,35,3
M0_ii.8.4; M1.8.3; M2.8.4,Yes,Architectural infeasibility,,,,,,,,,,,,,,,X,,,X,X,,,,,,,,,,,,,,,,,,,,,"0,66",,,"0,75","0,61",,,,,,,,,,,,,,,,,,,,,"0,65",,,"0,75","0,61",,,,,,,,,,,,,,,,,,,,,"0,49",,,"0,75","0,61",,,,,,,,3,"2,01","1,521","2,01","1,85","0,075937",2.01,3,1.521,2.01,1.85,0.075937,34,True,False,39,35,4
M0_ii.8.3; M1.8.2; M2.8.3,Yes,Architectural infeasibility,,,,,,,,,,,,,,,X,,,X,X,,,,,,,,,,,,,,,,,,,,,"0,66",,,"0,75","0,61",,,,,,,,,,,,,,,,,,,,,"0,65",,,"0,75","0,61",,,,,,,,,,,,,,,,,,,,,"0,49",,,"0,75","0,61",,,,,,,,3,"2,01","1,521","2,01","1,85","0,075937",2.01,3,1.521,2.01,1.85,0.075937,34,True,False,40,35,5
M1.10.4; M2.10.3,Yes,Architectural infeasibility,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,"0,75","0,61",,,,,,,,,,,,,,,,,,,,,,,,"0,75","0,61",,,,,,,,,,,,,,,,,,,,,,,,"0,75","0,61",,,,,,,,2,"1,36","1,356","1,36","1,36","0,064726",1.36,2,1.356,1.36,1.36,0.064726,35,True,False,41,35,6
