#,Hall.,H. Type,Unnamed: 3,L0,L0_ii,L0_iii,L0_iv,L1,L2,Q0,Q0_ii,Q0_iii,Q0_iv,Q1,Q2,M0,M0_ii,M0_iii,M0_iv,M1,M2,G0,G0_ii,G0_iii,G0_iv,G1,G2,Unnamed: 28,L0.1,L0_ii.1,L0_iii.1,L0_iv.1,L1.1,L2.1,Q0.1,Q0_ii.1,Q0_iii.1,Q0_iv.1,Q1.1,Q2.1,M0.1,M0_ii.1,M0_iii.1,M0_iv.1,M1.1,M2.1,G0.1,G0_ii.1,G0_iii.1,G0_iv.1,G1.1,G2.1,Unnamed: 53,L0.2,L0_ii.2,L0_iii.2,L0_iv.2,L1.2,L2.2,Q0.2,Q0_ii.2,Q0_iii.2,Q0_iv.2,Q1.2,Q2.2,M0.2,M0_ii.2,M0_iii.2,M0_iv.2,M1.2,M2.2,G0.2,G0_ii.2,G0_iii.2,G0_iv.2,G1.2,G2.2,Unnamed: 78,L0.3,L0_ii.3,L0_iii.3,L0_iv.3,L1.3,L2.3,Q0.3,Q0_ii.3,Q0_iii.3,Q0_iv.3,Q1.3,Q2.3,M0.3,M0_ii.3,M0_iii.3,M0_iv.3,M1.3,M2.3,G0.3,G0_ii.3,G0_iii.3,G0_iv.3,G1.3,G2.3,Unnamed: 103,Support,Prec. Macro,Prec. Macro Balanced,Prec. Micro A,Prec. Micro B,bayes_posterior,E1_score,E2_score,E3_score,E4_score,E5_score,BAYES_score,WOPT_score,Rank,is_hall,is_real,k,cum_covered,cum_hall
L0_iv.10.4; G0.10.1; G0_iii.10.3; G0_iv.10.2; G2.10.1,Yes,Architectural infeasibility,,,,,X,,,,,,,,,,,,,,,X,,X,X,,X,,,,,"0,89",,,,,,,,,,,,,,,"0,85",,"0,85","0,85",,"0,74",,,,,"0,89",,,,,,,,,,,,,,,"0,84",,"0,84","0,84",,"0,74",,,,,"0,78",,,,,,,,,,,,,,,"0,68",,"0,68","0,68",,"0,74",,5.0,"4,19","3,523","4,15","3,54",0.9696574610889763,4.19,5.0,3.523,4.15,3.54,0.9696574610889763,0.21555479627573249,31,True,False,39,37,2
GS.7.6,No,,,X,,X,X,,,,,,,,,,,,,,,,,,,,,,"0,89",,"0,89","0,89",,,,,,,,,,,,,,,,,,,,,,"0,89",,"0,89","0,89",,,,,,,,,,,,,,,,,,,,,,"0,78",,"0,78","0,78",,,,,,,,,,,,,,,,,,,,,,3.0,"2,66","0,665","2,66","2,33",0.7716578830528132,2.66,3.0,0.665,2.66,2.33,0.7716578830528132,0.21444434953446656,32,False,True,40,38,2
GS.4.11,No,,,X,,,,,,,,,,,,X,X,X,X,,,,,,,,,,"0,89",,,,,,,,,,,,"0,66","0,66","0,66","0,66",,,,,,,,,,"0,89",,,,,,,,,,,,"0,65","0,65","0,65","0,65",,,,,,,,,,"0,78",,,,,,,,,,,,"0,49","0,49","0,49","0,49",,,,,,,,,,5.0,"3,52","0,880","3,50","2,74",0.6296640504958547,3.52,5.0,0.88,3.5,2.74,0.6296640504958547,0.1879644657042795,33,False,True,41,39,2
GS.4.15,No,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,"0,76","0,76","0,76","0,76",,,,,,,,,,,,,,,,,,,,,,"0,74","0,74","0,74","0,74",,,,,,,,,,,,,,,,,,,,,,"0,49","0,49","0,49","0,49",,,,,,,,,,,,,,,,4.0,"3,04","0,759","2,96","1,97",0.409483369068248,3.04,4.0,0.759,2.96,1.97,0.409483369068248,0.1763688391560605,34,False,True,42,40,2
GS.4.17,No,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,"0,76","0,76","0,76","0,76",,,,,,,,,,,,,,,,,,,,,,"0,74","0,74","0,74","0,74",,,,,,,,,,,,,,,,,,,,,,"0,49","0,49","0,49","0,49",,,,,,,,,,,,,,,,4.0,"3,04","0,759","2,96","1,97",0.409483369068248,3.04,4.0,0.759,2.96,1.97,0.409483369068248,0.1763688391560605,34,False,True,43,41,2
GS.4.16,No,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,"0,76","0,76","0,76","0,76",,,,,,,,,,,,,,,,,,,,,,"0,74","0,74","0,74","0,74",,,,,,,,,,,,,,,,,,,,,,"0,49","0,49","0,49","0,49",,,,,,,,,,,,,,,,4.0,"3,04","0,759","2,96","1,97",0.409483369068248,3.04,4.0,0.759,2.96,1.97,0.409483369068248,0.1763688391560605,34,False,True,44,42,2
GS.9.8,No,,,,X,X,,,,,,,,,,,,,,,,X,,,,,,,,"0,89","0,89",,,,,,,,,,,,,,,,"0,85",,,,,,,,"0,89","0,89",,,,,,,,,,,,,,,,"0,84",,,,,,,,"0,78","0,78",,,,,,,,,,,,,,,,"0,68",,,,,,,3.0,"2,63","1,298","2,62","2,23",0.5921564854493422,2.63,3.0,1.298,2.62,2.23,0.5921564854493422,0.16603314256427779,35,False,True,45,43,2
GS.10.6,No,,,,,X,,,X,,,,,,,X,,,,,,,,,,,,,,,"0,89",,,"0,89",,,,,,,"0,66",,,,,,,,,,,,,,,"0,89",,,"0,89",,,,,,,"0,65",,,,,,,,,,,,,,,"0,78",,,"0,89",,,,,,,"0,49",,,,,,,,,,,,,3.0,"2,44","1,279","2,43","2,16",0.4108344893557071,2.44,3.0,1.279,2.43,2.16,0.4108344893557071,0.16528572648842574,36,False,True,46,44,2
L0.5.4; L0_iv.5.3,Yes,Responsibility leakage,,X,,,X,,,,,,,,,,,,,,,,,,,,,,"0,89",,,"0,89",,,,,,,,,,,,,,,,,,,,,,"0,89",,,"0,89",,,,,,,,,,,,,,,,,,,,,,"0,78",,,"0,78",,,,,,,,,,,,,,,,,,,,,,2.0,"1,77","0,443","1,77","1,55",0.16864380629073183,1.77,2.0,0.443,1.77,1.55,0.16864380629073183,0.14833005893909626,37,True,False,47,44,3
GS.7.4,No,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,"0,89",,,"0,89",,,,,,,,,,,,,,,,,,,,,,"0,89",,,"0,89",,,,,,,,,,,,,,,,,,,,,,"0,78",,,"0,78",,,,,,,,,,,,,,,,,,,,,,2.0,"1,77","0,443","1,77","1,55",0.16864380629073183,1.77,2.0,0.443,1.77,1.55,0.16864380629073183,0.14833005893909626,37,False,True,48,45,3
GS.5.6,No,,,,,,,,,,X,X,,,,,,,,,,,,X,,X,,,,,,,,,,"0,76","0,76",,,,,,,,,,,,"0,85",,"0,60",,,,,,,,,,"0,74","0,74",,,,,,,,,,,,"0,84",,"0,60",,,,,,,,,,"0,49","0,49",,,,,,,,,,,,"0,68",,"0,60",,,4.0,"2,97","1,834","2,92","2,26",0.5356052492775044,2.97,4.0,1.834,2.92,2.26,0.5356052492775044,0.14730503117792776,38,False,True,49,46,3
L0_iii.2.5; L1.2.1. M0_ii.2.2; M0_iii.2.3,Yes,Scope misalignment,,,,X,,X,,,,,,,,,X,X,,,,,,,,,,,,,"0,89",,"0,80",,,,,,,,,"0,66","0,66",,,,,,,,,,,,,"0,89",,"0,80",,,,,,,,,"0,65","0,65",,,,,,,,,,,,,"0,78",,"0,80",,,,,,,,,"0,49","0,49",,,,,,,,,,,4.0,"3,00","1,351","3,00","2,56",0.7056263705542132,3.0,4.0,1.351,3.0,2.56,0.7056263705542132,0.14542581361578544,39,True,False,50,46,4
L0_ii.2.1; L0_iii.2.2,Yes,Scope misalignment,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,"0,89","0,89",,,,,,,,,,,,,,,,,,,,,,,,"0,89","0,89",,,,,,,,,,,,,,,,,,,,,,,,"0,78","0,78",,,,,,,,,,,,,,,,,,,,,,,2.0,"1,77","0,443","1,77","1,55",0.16864380629073183,1.77,2.0,0.443,1.77,1.55,0.16864380629073183,0.12437003502178184,40,True,False,51,46,5
GS.4.19,No,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,,,,,,"0,85",,"0,85","0,85",,,,,,,,,,,,,,,,,,,,,,"0,84",,"0,84","0,84",,,,,,,,,,,,,,,,,,,,,,"0,68",,"0,68","0,68",,,,3.0,"2,56","2,564","2,53","2,03",0.21136277912518223,2.56,3.0,2.564,2.53,2.03,0.21136277912518223,0.12261894592978562,41,False,True,52,47,5
GS.4.18,No,,,,,,,,,,,,X,,X,,,X,,,,,,,,,,,,,,,,,,,,"0,76",,"0,72",,,"0,66",,,,,,,,,,,,,,,,,,,,"0,74",,"0,72",,,"0,65",,,,,,,,,,,,,,,,,,,,"0,49",,"0,72",,,"0,49",,,,,,,,,,,3.0,"2,14","1,078","2,12","1,71",0.07183094612179826,2.14,3.0,1.078,2.12,1.71,0.07183094612179826,0.11450414282053473,42,False,True,53,48,5
L1.3.4; Q1.3.9; Q2.3.5,Yes,Template drift,,,,,,X,,,,,,X,X,,,,,,,,,,,,,,,,,,"0,80",,,,,,"0,75","0,72",,,,,,,,,,,,,,,,,,"0,80",,,,,,"0,75","0,72",,,,,,,,,,,,,,,,,,"0,80",,,,,,"0,75","0,72",,,,,,,,,,,,,,3.0,"2,27","2,274","2,27","2,27",0.2727557856874782,2.27,3.0,2.274,2.27,2.27,0.2727557856874782,0.11300931066883063,43,True,False,54,48,6
GS.2.3,No,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,"0,89",,,,,,,,,,,,,,,"0,66",,,,,,,,,,"0,89",,,,,,,,,,,,,,,"0,65",,,,,,,,,,"0,78",,,,,,,,,,,,,,,"0,49",,,,,,,,,,2.0,"1,54","0,386","1,54","1,27",0.04017590892065364,1.54,2.0,0.386,1.54,1.27,0.04017590892065364,0.11264628000341675,44,False,True,55,49,6
L0_iii.7.8; Q0_iii.7.4,Yes,Template drift,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,"0,89",,,,,,"0,76",,,,,,,,,,,,,,,,,,,"0,89",,,,,,"0,74",,,,,,,,,,,,,,,,,,,"0,78",,,,,,"0,49",,,,,,,,,,,,,,,,,2.0,"1,65","0,411","1,63","1,27",0.0633010281294985,1.65,2.0,0.411,1.63,1.27,0.0633010281294985,0.10515076449987187,45,True,False,56,49,7
GS.4.6,No,,H.4.6,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,"0,76",,"0,76",,,,,,,,,,,,,,,,,,,,,,,"0,74",,"0,74",,,,,,,,,,,,,,,,,,,,,,,"0,49",,"0,49",,,,,,,,,,,,,,,,2.0,"1,52","0,379","1,48","0,98",0.022017562481997714,1.52,2.0,0.379,1.48,0.98,0.022017562481997714,0.10478773383445802,46,False,True,57,50,7
M0.2.1; M0_ii.2.1; M0_iii.2.1,Yes,Scope misalignment,,,,,,,,,,,,,,X,X,X,,,X,,,,,,,,,,,,,,,,,,,,"0,66","0,66","0,66",,,"0,61",,,,,,,,,,,,,,,,,,,,"0,65","0,65","0,65",,,"0,61",,,,,,,,,,,,,,,,,,,,"0,49","0,49","0,49",,,"0,61",,,,,,,,4.0,"2,58","1,100","2,57","2,08",0.09260876473484758,2.58,4.0,1.1,2.57,2.08,0.09260876473484758,0.10162723157085504,47,True,False,58,50,8
Q0_iv.4.4; Q2.4.1,Yes,Scope misalignment,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,"0,76",,"0,72",,,,,,,,,,,,,,,,,,,,,,,"0,74",,"0,72",,,,,,,,,,,,,,,,,,,,,,,"0,49",,"0,72",,,,,,,,,,,,,,2.0,"1,48","0,914","1,46","1,22",0.022017562481997714,1.48,2.0,0.914,1.46,1.22,0.022017562481997714,0.09517809857350304,48,True,False,59,50,9
Q0_ii.10.4; Q0_iii.10.3,Yes,Template drift,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,"0,76","0,76",,,,,,,,,,,,,,,,,,,,,,,,"0,74","0,74",,,,,,,,,,,,,,,,,,,,,,,,"0,49","0,49",,,,,,,,,,,,,,,,,2.0,"1,52","0,379","1,48","0,98",0.022017562481997714,1.52,2.0,0.379,1.48,0.98,0.022017562481997714,0.08544033484240199,49,True,False,60,50,10
GS.6.4,No,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,"0,85",,"0,85",,,,,,,,,,,,,,,,,,,,,,,"0,84",,"0,84",,,,,,,,,,,,,,,,,,,,,,,"0,68",,"0,68",,,,,2.0,"1,71","1,709","1,68","1,35",0.03609329819628724,1.71,2.0,1.709,1.68,1.35,0.03609329819628724,0.08257879900913984,50,False,True,61,51,10
GS.4.9,No,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,78",,,,,,,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,222","0,89","0,78",0.0120301607490171,0.89,1.0,0.222,0.89,0.78,0.0120301607490171,0.0820876398735799,51,False,True,62,52,10
GS.10.4,No,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,78",,,,,,,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,222","0,89","0,78",0.0120301607490171,0.89,1.0,0.222,0.89,0.78,0.0120301607490171,0.0820876398735799,51,False,True,63,53,10
L0_iii.7.5; M0_ii.7.4,Yes,Contextual misfit,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,"0,89",,,,,,,,,,,"0,66",,,,,,,,,,,,,,"0,89",,,,,,,,,,,"0,65",,,,,,,,,,,,,,"0,78",,,,,,,,,,,"0,49",,,,,,,,,,,,2.0,"1,54","0,386","1,54","1,27",0.04017590892065364,1.54,2.0,0.386,1.54,1.27,0.04017590892065364,0.0773255317331511,52,True,False,64,53,11
M0_ii.8.4; M1.8.3; M2.8.4,Yes,Architectural infeasibility,,,,,,,,,,,,,,,X,,,X,X,,,,,,,,,,,,,,,,,,,,,"0,66",,,"0,75","0,61",,,,,,,,,,,,,,,,,,,,,"0,65",,,"0,75","0,61",,,,,,,,,,,,,,,,,,,,,"0,49",,,"0,75","0,61",,,,,,,,3.0,"2,01","1,521","2,01","1,85",0.028833984924454867,2.01,3.0,1.521,2.01,1.85,0.028833984924454867,0.07593747330656872,53,True,False,65,53,12
M0_ii.8.3; M1.8.2; M2.8.3,Yes,Architectural infeasibility,,,,,,,,,,,,,,,X,,,X,X,,,,,,,,,,,,,,,,,,,,,"0,66",,,"0,75","0,61",,,,,,,,,,,,,,,,,,,,,"0,65",,,"0,75","0,61",,,,,,,,,,,,,,,,,,,,,"0,49",,,"0,75","0,61",,,,,,,,3.0,"2,01","1,521","2,01","1,85",0.028833984924454867,2.01,3.0,1.521,2.01,1.85,0.028833984924454867,0.07593747330656872,53,True,False,66,53,13
GS.5.5,No,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,"0,66",,,"0,66",,,,,,,,,,,,,,,,,,,,,,"0,65",,,"0,65",,,,,,,,,,,,,,,,,,,,,,"0,49",,,"0,49",,,,,,,,,,2.0,"1,32","0,329","1,31","0,98",0.008563079142997861,1.32,2.0,0.329,1.31,0.98,0.008563079142997861,0.07533954044588707,54,False,True,67,54,13
L0_iv.10.5,Yes,Template drift,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,78",,,,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,222","0,89","0,78",0.0120301607490171,0.89,1.0,0.222,0.89,0.78,0.0120301607490171,0.06624241906551635,55,True,False,68,54,14
GS.7.9,No,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,78",,,,,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,222","0,89","0,78",0.0120301607490171,0.89,1.0,0.222,0.89,0.78,0.0120301607490171,0.06611429059537029,56,False,True,69,55,14
L0_iii.7.2,Yes,Contextual misfit,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,78",,,,,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,222","0,89","0,78",0.0120301607490171,0.89,1.0,0.222,0.89,0.78,0.0120301607490171,0.06611429059537029,56,True,False,70,55,15
L0_iii.8.5,Yes,Template drift,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,78",,,,,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,222","0,89","0,78",0.0120301607490171,0.89,1.0,0.222,0.89,0.78,0.0120301607490171,0.06611429059537029,56,True,False,71,55,16
GS.2.2,No,,H.2.2,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,78",,,,,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,222","0,89","0,78",0.0120301607490171,0.89,1.0,0.222,0.89,0.78,0.0120301607490171,0.06611429059537029,56,False,True,72,56,16
M1.10.3; M2.10.2,Yes,Architectural infeasibility,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,"0,75","0,61",,,,,,,,,,,,,,,,,,,,,,,,"0,75","0,61",,,,,,,,,,,,,,,,,,,,,,,,"0,75","0,61",,,,,,,,2.0,"1,36","1,356","1,36","1,36",0.008563079142997861,1.36,2.0,1.356,1.36,1.36,0.008563079142997861,0.06472623216878791,57,True,False,73,56,17
M1.10.5; M2.10.4,Yes,Architectural infeasibility,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,"0,75","0,61",,,,,,,,,,,,,,,,,,,,,,,,"0,75","0,61",,,,,,,,,,,,,,,,,,,,,,,,"0,75","0,61",,,,,,,,2.0,"1,36","1,356","1,36","1,36",0.008563079142997861,1.36,2.0,1.356,1.36,1.36,0.008563079142997861,0.06472623216878791,57,True,False,74,56,18
M1.10.4; M2.10.3,Yes,Architectural infeasibility,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,"0,75","0,61",,,,,,,,,,,,,,,,,,,,,,,,"0,75","0,61",,,,,,,,,,,,,,,,,,,,,,,,"0,75","0,61",,,,,,,,2.0,"1,36","1,356","1,36","1,36",0.008563079142997861,1.36,2.0,1.356,1.36,1.36,0.008563079142997861,0.06472623216878791,57,True,False,75,56,19
M0.5.3; M0_iii.5.3,Yes,Architectural infeasibility,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,"0,66",,"0,66",,,,,,,,,,,,,,,,,,,,,,,"0,65",,"0,65",,,,,,,,,,,,,,,,,,,,,,,"0,49",,"0,49",,,,,,,,,,,2.0,"1,32","0,329","1,31","0,98",0.008563079142997861,1.32,2.0,0.329,1.31,0.98,0.008563079142997861,0.06410694456308191,58,True,False,76,56,20
M0.2.4; M0_iii.2.5,Yes,Architectural infeasibility,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,"0,66",,"0,66",,,,,,,,,,,,,,,,,,,,,,,"0,65",,"0,65",,,,,,,,,,,,,,,,,,,,,,,"0,49",,"0,49",,,,,,,,,,,2.0,"1,32","0,329","1,31","0,98",0.008563079142997861,1.32,2.0,0.329,1.31,0.98,0.008563079142997861,0.06410694456308191,58,True,False,77,56,21
Q0.10.4; Q1.10.4,Yes,Template drift,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,"0,76",,,,"0,75",,,,,,,,,,,,,,,,,,,,,"0,74",,,,"0,75",,,,,,,,,,,,,,,,,,,,,"0,49",,,,"0,75",,,,,,,,,,,,,,,2.0,"1,51","0,940","1,49","1,24",0.022017562481997714,1.51,2.0,0.94,1.49,1.24,0.022017562481997714,0.05998547877338345,59,True,False,78,56,22
GS.1.2,No,,H.1.2,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,"0,49",,,,,,,,,,,,,,,,1.0,"0,76","0,190","0,74","0,49",0.004040145799861532,0.76,1.0,0.19,0.74,0.49,0.004040145799861532,0.05838387289655762,60,False,True,79,57,22
L0_ii.2.3,Yes,Scope misalignment,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,78",,,,,,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,222","0,89","0,78",0.0120301607490171,0.89,1.0,0.222,0.89,0.78,0.0120301607490171,0.05825574442641155,61,True,False,80,57,23
L0_ii.7.2,Yes,Template drift,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,78",,,,,,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,222","0,89","0,78",0.0120301607490171,0.89,1.0,0.222,0.89,0.78,0.0120301607490171,0.05825574442641155,61,True,False,81,57,24
L0_ii.6.2,Yes,Template drift,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,78",,,,,,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,222","0,89","0,78",0.0120301607490171,0.89,1.0,0.222,0.89,0.78,0.0120301607490171,0.05825574442641155,61,True,False,82,57,25
M0.2.2; M0_ii.2.3; M2.2.3,Yes,Architectural infeasibility,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,"0,66","0,66",,,,,,,,,,,,,,,,,,,,,,,,"0,65","0,65",,,,,,,,,,,,,,,,,,,,,,,,"0,49","0,49",,,,,,,,,,,,2.0,"1,32","0,329","1,31","0,98",0.008563079142997861,1.32,2.0,0.329,1.31,0.98,0.008563079142997861,0.05599214145383104,62,True,False,83,57,26
GS.5.4,No,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,893","0,89","0,89",0.0120301607490171,0.89,1.0,0.893,0.89,0.89,0.0120301607490171,0.05439053557700522,63,False,True,84,58,26
L2.3.2,Yes,Template drift,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,893","0,89","0,89",0.0120301607490171,0.89,1.0,0.893,0.89,0.89,0.0120301607490171,0.05439053557700522,63,True,False,85,58,27
L2.1.2,Yes,Scope misalignment,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,893","0,89","0,89",0.0120301607490171,0.89,1.0,0.893,0.89,0.89,0.0120301607490171,0.05439053557700522,63,True,False,86,58,28
GS.9.5,No,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,893","0,89","0,89",0.0120301607490171,0.89,1.0,0.893,0.89,0.89,0.0120301607490171,0.05439053557700522,63,False,True,87,59,28
GS.4.14,No,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,893","0,89","0,89",0.0120301607490171,0.89,1.0,0.893,0.89,0.89,0.0120301607490171,0.05439053557700522,63,False,True,88,60,28
GS.10.7,No,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,893","0,89","0,89",0.0120301607490171,0.89,1.0,0.893,0.89,0.89,0.0120301607490171,0.05439053557700522,63,False,True,89,61,28
L2.10.2,Yes,Template drift,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,,,,,,"0,89",,,,,,,,,,,,,,,,,,,,1.0,"0,89","0,893","0,89","0,89",0.0120301607490171,0.89,1.0,0.893,0.89,0.89,0.0120301607490171,0.05439053557700522,63,True,False,90,61,29
Q0_iii.2.4; M0_ii.2.4,Yes,Scope misalignment,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,"0,76",,,,,"0,66",,,,,,,,,,,,,,,,,,,,"0,74",,,,,"0,65",,,,,,,,,,,,,,,,,,,,"0,49",,,,,"0,49",,,,,,,,,,,,2.0,"1,42","0,354","1,39","0,98",0.01375268075128478,1.42,2.0,0.354,1.39,0.98,0.01375268075128478,0.0502477150422824,64,True,False,91,61,30
M0_ii.8.5; M1.8.4,Yes,Architectural infeasibility,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,"0,66",,,"0,75",,,,,,,,,,,,,,,,,,,,,,"0,65",,,"0,75",,,,,,,,,,,,,,,,,,,,,,"0,49",,,"0,75",,,,,,,,,2.0,"1,41","0,915","1,40","1,24",0.008563079142997861,1.41,2.0,0.915,1.4,1.24,0.008563079142997861,0.04962842743657642,65,True,False,92,61,31
GS.7.8,No,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,80",,,,,,,,,,,,,,,,,,,,,,,,,"0,80",,,,,,,,,,,,,,,,,,,,,,,,,"0,80",,,,,,,,,,,,,,,,,,,,,1.0,"0,80","0,800","0,80","0,80",0.0120301607490171,0.8,1.0,0.8,0.8,0.8,0.0120301607490171,0.04877423763560263,66,False,True,93,62,31
GS.7.7,No,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,80",,,,,,,,,,,,,,,,,,,,,,,,,"0,80",,,,,,,,,,,,,,,,,,,,,,,,,"0,80",,,,,,,,,,,,,,,,,,,,,1.0,"0,80","0,800","0,80","0,80",0.0120301607490171,0.8,1.0,0.8,0.8,0.8,0.0120301607490171,0.04877423763560263,66,False,True,94,63,31
L1.10.2,Yes,Template drift,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,80",,,,,,,,,,,,,,,,,,,,,,,,,"0,80",,,,,,,,,,,,,,,,,,,,,,,,,"0,80",,,,,,,,,,,,,,,,,,,,,1.0,"0,80","0,800","0,80","0,80",0.0120301607490171,0.8,1.0,0.8,0.8,0.8,0.0120301607490171,0.04877423763560263,66,True,False,95,63,32
L1.1.3,Yes,Scope misalignment,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"0,80",,,,,,,,,,,,,,,,,,,,,,,,,"0,80",,,,,,,,,,,,,,,,,,,,,,,,,"0,80",,,,,,,,,,,,,,,,,,,,,1.0,"0,80","0,800","0,80","0,80",0.0120301607490171,0.8,1.0,0.8,0.8,0.8,0.0120301607490171,0.04877423763560263,66,True,False,96,63,33
